Country Name	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Barbados	12868.78733	14223.25544	15439.99215	16381.49556	16613.71922	15922.90013	15959.02979	16610.41835	16536.21464	16326.91348	16261.79932	16129.04928	15891.62655	16788.68392
Brunei Darussalam	21896.60527	26102.13345	30980.96692	32672.36717	37951.2806	27965.47504	35268.10117	47017.0273	47651.25909	44597.27968	41530.66898	30967.89051	26939.41805	28290.5852
Bhutan	1097.457088	1247.061392	1335.456906	1741.142552	1795.181307	1770.234497	2178.921383	2458.045976	2422.008016	2350.882889	2504.717407	2615.31022	2773.547135	3110.230113
Botswana	4896.583835	5351.253732	5374.554867	5714.047936	5623.379566	5185.729845	6346.156204	7645.214612	7029.23145	7007.625786	7493.763994	6527.508161	6954.174306	7595.59585
Central African Republic	313.210598	323.9805112	347.6071719	397.0171544	456.8618268	449.9612041	446.4436878	490.5103907	483.1860932	337.484979	377.1321263	348.3814271	382.0702811	418.411287
Canada	31979.87195	36189.58838	40386.69948	44544.5268	46596.33599	40773.45436	47447.47602	52082.21076	52496.69487	52418.31506	50633.20882	43525.37019	42348.94546	45032.11991
Switzerland	53340.14766	54952.67372	57579.50195	63555.2375	72487.84593	69927.46877	74605.72102	88415.62806	83538.23008	85112.4644	86605.56338	82016.02131	79866.03187	80189.69686
Chile	6210.828325	7615.30468	9484.681227	10526.87746	10781.36608	10243.32824	12860.17764	14705.69242	15431.90293	15941.39722	14794.31583	13736.63569	13960.89421	15346.4497
China	1508.668098	1753.417829	2099.229435	2695.365917	3471.248054	3838.433972	4560.512586	5633.795717	6337.883323	7077.770765	7683.502613	8069.213024	8117.267465	8826.994096
Cote d'Ivoire	919.8068028	931.754287	951.9478956	1065.896375	1242.431044	1217.749206	1219.749096	1214.703946	1262.480218	1423.682282	1569.928275	1434.326615	1535.068121	1662.442467
Cameroon	1027.823	1030.038193	1081.369831	1215.808213	1396.824988	1338.884377	1309.122208	1429.647553	1380.509848	1493.746567	1571.182535	1353.92449	1374.515899	1446.702895
"Congo, Dem. Rep."	194.1667863	218.5235092	255.5913138	286.5075372	327.7676543	298.8069562	334.2317394	387.3235796	424.8591337	458.1253652	487.1982806	497.6297557	444.4103346	457.8473868
"Congo, Rep."	1289.337837	1637.064381	2012.11007	2111.209489	2881.594116	2255.333119	2737.34233	3196.647524	2952.052348	2964.572989	2910.520226	1712.121146	1528.24472	1658.043625
Colombia	2740.249442	3386.0256	3709.078776	4674.21961	5433.72045	5148.422113	6250.655044	7227.73968	7884.984429	8030.58603	7913.383432	6044.525556	5756.861602	6301.589878
Comoros	616.4197236	621.9033702	648.3008717	720.7593013	795.9705019	778.5454199	769.1742883	829.7586885	788.632653	834.3410949	852.9543079	727.6463868	775.0800846	797.2863685
